Variable Name,Variable Meaning
dest_x,x-component of the relative position between the ego pedestrian and the destination in the absolute coordinate system
dest_y,y-component of the relative position between the ego pedestrian and the destination in the absolute coordinate system
v_x,x-component of the current velocity of the ego pedestrian in the relative coordinate system
v_y,y-component of the current velocity of the ego pedestrian in the relative coordinate system
rb_ped1_x,x-component of the relative position between the ego pedestrian and the 1st nearest neighbor in the right-back region in the relative coordinate system
rb_ped1_y,y-component of the relative position between the ego pedestrian and the 1st nearest neighbor in the right-back region in the relative coordinate system
rb_ped1_vx,x-component of the relative velocity between the ego pedestrian and the 1st nearest neighbor in the right-back region in the relative coordinate system
rb_ped1_vy,y-component of the relative velocity between the ego pedestrian and the 1st nearest neighbor in the right-back region in the relative coordinate system
rb_ped2_x,x-component of the relative position between the ego pedestrian and the 2nd nearest neighbor in the right-back region in the relative coordinate system
rb_ped2_y,y-component of the relative position between the ego pedestrian and the 2nd nearest neighbor in the right-back region in the relative coordinate system
rb_ped2_vx,x-component of the relative velocity between the ego pedestrian and the 2nd nearest neighbor in the right-back region in the relative coordinate system
rb_ped2_vy,y-component of the relative velocity between the ego pedestrian and the 2nd nearest neighbor in the right-back region in the relative coordinate system
rb_ped3_x,x-component of the relative position between the ego pedestrian and the 3rd nearest neighbor in the right-back region in the relative coordinate system
rb_ped3_y,y-component of the relative position between the ego pedestrian and the 3rd nearest neighbor in the right-back region in the relative coordinate system
rb_ped3_vx,x-component of the relative velocity between the ego pedestrian and the 3rd nearest neighbor in the right-back region in the relative coordinate system
rb_ped3_vy,y-component of the relative velocity between the ego pedestrian and the 3rd nearest neighbor in the right-back region in the relative coordinate system
rb_ped4_x,x-component of the relative position between the ego pedestrian and the 4th nearest neighbor in the right-back region in the relative coordinate system
rb_ped4_y,y-component of the relative position between the ego pedestrian and the 4th nearest neighbor in the right-back region in the relative coordinate system
rb_ped4_vx,x-component of the relative velocity between the ego pedestrian and the 4th nearest neighbor in the right-back region in the relative coordinate system
rb_ped4_vy,y-component of the relative velocity between the ego pedestrian and the 4th nearest neighbor in the right-back region in the relative coordinate system
rb_ped5_x,x-component of the relative position between the ego pedestrian and the 5th nearest neighbor in the right-back region in the relative coordinate system
rb_ped5_y,y-component of the relative position between the ego pedestrian and the 5th nearest neighbor in the right-back region in the relative coordinate system
